City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
222,Melito Di Porto Salvo,IT,2021-10-02 00:23:42,37.9222,15.7714,73.96,60,20,5.75
223,Pajarito,CO,2021-10-02 00:23:42,5.2929,-72.7028,68.83,93,100,3.22
224,Gubkinskiy,RU,2021-10-02 00:23:43,64.434,76.5026,29.37,96,100,19.77
225,Nautla,MX,2021-10-02 00:23:43,20.2167,-96.7833,82.9,81,99,13.13
226,Worland,US,2021-10-02 00:23:44,44.0169,-107.9554,72.88,23,1,3.44
227,Takoradi,GH,2021-10-02 00:23:45,4.8845,-1.7554,76.03,90,94,3.98
228,Berlevag,NO,2021-10-02 00:20:19,70.8578,29.0864,46.63,83,39,24.25
229,Gornyy,RU,2021-10-02 00:23:45,55.1153,83.9059,35.8,97,100,10.45
230,Saint George,US,2021-10-02 00:16:38,37.1041,-113.5841,84.67,16,1,1.99
231,Waling,NP,2021-10-02 00:23:46,27.9833,83.7667,68.43,99,91,1.95
232,San Joaquin,US,2021-10-02 00:23:46,37.9333,-121.3011,91.54,19,1,4.61
233,Awbari,LY,2021-10-02 00:23:47,26.5921,12.7805,71.78,37,46,5.79
234,Freetown,SL,2021-10-02 00:23:47,8.484,-13.2299,78.33,87,100,7.4
235,Takanabe,JP,2021-10-02 00:23:48,32.1333,131.5,75.09,57,0,1.72
236,Roma,US,2021-10-02 00:23:48,43.2128,-75.4557,53.73,87,1,0.0
237,Sioux City,US,2021-10-02 00:20:13,42.5,-96.4003,70.59,73,20,1.01
238,Chibombo,ZM,2021-10-02 00:23:49,-14.6569,28.0706,69.31,50,0,7.16
239,Maragogi,BR,2021-10-02 00:19:39,-9.0122,-35.2225,75.74,88,18,7.83
240,Pincher Creek,CA,2021-10-02 00:23:50,49.4833,-113.952,62.71,24,1,13.8
241,Derzhavinsk,KZ,2021-10-02 00:23:50,51.1,66.3167,36.59,79,63,6.31
242,Concarneau,FR,2021-10-02 00:23:51,47.875,-3.9225,59.05,83,69,6.73
243,Artigas,UY,2021-10-02 00:23:26,-30.4,-56.4667,60.44,90,4,8.48
244,Puerto Escondido,MX,2021-10-02 00:23:52,15.85,-97.0667,86.83,62,90,9.22
245,Ondjiva,AO,2021-10-02 00:23:52,-17.0667,15.7333,63.5,21,1,7.85
246,Rabo De Peixe,PT,2021-10-02 00:23:53,37.8,-25.5833,69.31,90,20,3.44
247,Kolokani,ML,2021-10-02 00:23:53,13.5728,-8.0339,77.61,64,10,7.23
248,Kayerkan,RU,2021-10-02 00:23:53,69.3497,87.7602,24.73,96,91,5.91
249,Pokosnoye,RU,2021-10-02 00:23:54,55.5258,101.0536,34.61,96,100,10.33
250,Zimovniki,RU,2021-10-02 00:23:55,47.1483,42.4633,43.09,57,1,9.69
251,Keti Bandar,PK,2021-10-02 00:23:55,24.1447,67.4497,81.01,85,69,13.73
252,Omsukchan,RU,2021-10-02 00:23:56,62.5333,155.8,30.9,90,100,8.19
253,Berdigestyakh,RU,2021-10-02 00:23:56,62.0989,126.6992,30.9,62,100,5.1
254,Woodward,US,2021-10-02 00:23:57,36.4337,-99.3904,70.97,65,90,18.41
255,Turukhansk,RU,2021-10-02 00:23:57,65.8167,87.9833,31.82,99,100,2.06
256,Syracuse,IT,2021-10-02 00:23:58,37.0881,15.2792,72.32,69,100,4.43
257,Jumla,NP,2021-10-02 00:23:58,29.2747,82.1838,56.43,89,68,3.13
258,Pacific Grove,US,2021-10-02 00:23:59,36.6177,-121.9166,90.16,74,1,8.01
259,Strezhevoy,RU,2021-10-02 00:23:59,60.7333,77.5889,31.98,95,100,9.17
260,Antigonish,CA,2021-10-02 00:24:00,45.6169,-61.9986,53.42,89,48,2.66
261,Temirtau,KZ,2021-10-02 00:24:00,50.0544,72.9483,34.05,80,98,12.39
262,Mount Isa,AU,2021-10-02 00:24:01,-20.7333,139.5,83.97,14,16,5.75
263,Necochea,AR,2021-10-02 00:24:01,-38.5473,-58.7368,47.03,78,38,8.16
264,Constantine,DZ,2021-10-02 00:24:02,36.365,6.6147,65.61,94,75,4.61
265,Erzincan,TR,2021-10-02 00:24:02,39.75,39.5,42.1,93,0,2.3
266,Gizel,RU,2021-10-02 00:24:03,43.04,44.5708,43.02,100,49,2.24
267,Gat,IL,2021-10-02 00:24:03,31.61,34.7642,74.08,100,4,4.43
268,Navoi,UZ,2021-10-02 00:24:04,40.0844,65.3792,49.48,43,57,23.02
269,Ribeira Brava,PT,2021-10-02 00:24:04,32.65,-17.0667,72.23,75,2,6.91
270,Vestmanna,FO,2021-10-02 00:24:05,62.1564,-7.1664,47.32,100,90,5.75
271,Lahan,NP,2021-10-02 00:24:05,26.7296,86.4951,75.56,92,100,5.77
272,Darnah,LY,2021-10-02 00:24:06,32.767,22.6367,71.01,66,3,22.77
273,Cicevac,RS,2021-10-02 00:24:07,43.7188,21.4408,52.38,66,2,3.89
274,Hami,CN,2021-10-02 00:24:07,42.8,93.45,56.95,35,89,9.51
275,Poum,NC,2021-10-02 00:24:08,-20.2333,164.0167,73.74,89,100,25.7
