City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
138,Ifanadiana,MG,-21.3,47.6333,61.11,95,68,1.63,broken clouds
139,Yoichi,JP,43.2039,140.7703,63.82,60,35,16.06,scattered clouds
140,Barrow,US,71.2906,-156.7887,30.22,80,90,16.11,light snow
141,Severnoye,RU,56.3491,78.3619,32.72,99,100,6.13,light snow
142,Hami,CN,42.8,93.45,49.69,35,100,12.35,overcast clouds
143,Saldanha,ZA,-33.0117,17.9442,54.46,61,32,16.02,scattered clouds
144,Port Hardy,CA,50.6996,-127.4199,50.54,96,100,8.93,overcast clouds
145,Vardo,NO,70.3705,31.1107,49.1,84,99,27.11,overcast clouds
146,Lagunas,PE,-5.2269,-75.6753,80.11,66,53,1.86,broken clouds
147,San Lawrenz,MT,36.0553,14.204,71.85,83,17,1.99,few clouds
148,Srednekolymsk,RU,67.45,153.6833,25.2,78,76,14.5,broken clouds
149,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,83,0,9.22,clear sky
150,Bealanana,MG,-14.55,48.7333,55.8,91,61,4.68,broken clouds
151,Samana,DO,19.2056,-69.3369,77.7,86,100,5.91,overcast clouds
152,Pevek,RU,69.7008,170.3133,24.69,82,32,21.0,scattered clouds
153,Pisco,PE,-13.7,-76.2167,62.02,87,4,6.87,clear sky
154,Faanui,PF,-16.4833,-151.75,79.45,72,12,14.12,few clouds
155,Rantauprapat,ID,2.1,99.8333,74.75,92,88,1.14,overcast clouds
156,Zaraza,VE,9.3503,-65.3245,75.54,89,94,4.5,moderate rain
157,Tuatapere,NZ,-46.1333,167.6833,55.81,71,100,4.03,overcast clouds
158,Sorland,NO,67.667,12.6934,52.03,90,100,18.21,overcast clouds
159,Iberia,US,29.9502,-91.7507,78.78,89,100,6.55,light rain
160,Umm Lajj,SA,25.0213,37.2685,80.87,64,2,12.15,clear sky
161,Evensk,RU,61.95,159.2333,37.15,93,43,8.72,scattered clouds
