City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
203,Dhidhdhoo,MV,82.78,overcast clouds,6.8833,73.1,Dhidhoo beach
206,Moerai,PF,76.08,broken clouds,-22.4333,-151.3333,Le Manotel
208,Halifax,CA,53.01,overcast clouds,44.6453,-63.5724,Hotel Halifax
209,Mahebourg,MU,71.26,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
210,Harper,LR,77.58,overcast clouds,4.375,-7.7169,Screensaver
213,Asosa,ET,61.2,light rain,10.0667,34.5333,Blendana Hotel Assosa
214,Makakilo City,US,83.61,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
216,Ladnun,IN,82.24,clear sky,27.65,74.3833,Varsha Sanjay Sadan
217,Alice Springs,AU,67.55,clear sky,-23.7,133.8833,Desert Palms Alice Springs
218,Suluq,LY,68.52,clear sky,31.6682,20.2521,منزل عبدالواحد خليفة الفاخري
219,Nandgaon,IN,74.88,overcast clouds,20.3167,74.65,"Girl's hostel, Nandgaon"
220,East London,ZA,54.1,scattered clouds,-33.0153,27.9116,Tu Casa
221,Jalalabad,AF,78.51,clear sky,34.4265,70.4515,انصاف چهاردهي هوټل
222,Geraldton,AU,61.21,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
223,Les Cayes,HT,79.81,few clouds,18.2,-73.75,Villa Orphee
224,Loandjili,CG,75.56,broken clouds,-4.7561,11.8578,Résidence ARCHANGE
225,Galeana,MX,64.31,overcast clouds,24.8333,-100.0667,Mirador
226,Lorengau,PG,85.1,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
228,Taltal,CL,59.79,few clouds,-25.4,-70.4833,Residencial Karime
229,Dhanwar,IN,72.75,overcast clouds,24.4167,85.9833,K G N HOTEL
230,Ormara,PK,82.35,broken clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
231,Hay River,CA,51.78,light rain,60.8156,-115.7999,Ptarmigan Inn
232,Aksu,CN,56.73,scattered clouds,41.1231,80.2644,Pudong Holiday Hotel
233,Dwarka,IN,80.96,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
234,Cao Bang,VN,76.35,overcast clouds,22.6667,106.25,khách sạn 88
235,Victor Harbor,AU,60.89,overcast clouds,-35.5667,138.6167,McCracken Country Club
236,Broken Hill,AU,71.31,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
238,Makokou,GA,69.01,broken clouds,0.5738,12.8642,Motel des voyageurs
240,Borba,BR,73.74,moderate rain,-4.3878,-59.5939,Hotel da Amazônia
241,Shimoda,JP,74.1,scattered clouds,34.6667,138.95,Shimoda Tokyu Hotel
242,Havoysund,NO,52.68,broken clouds,70.9963,24.6622,Arctic View Glamping & Restaurant
243,Kulhudhuffushi,MV,82.85,overcast clouds,6.6221,73.07,Hondaafushi Island Resort
244,Hualmay,PE,62.73,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
245,Portland,US,75.16,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
246,Bandarbeyla,SO,79.29,broken clouds,9.4942,50.8122,JABIR HOTEL
247,Castro,BR,60.1,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
248,Cidreira,BR,63.07,overcast clouds,-30.1811,-50.2056,Hotel Castelo
250,Khani,GE,53.17,scattered clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
251,Arraial Do Cabo,BR,71.94,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
252,Kadoma,JP,73.94,clear sky,34.7333,135.5833,Hotel Agora Osaka Moriguchi
255,Contamana,PE,81.72,scattered clouds,-7.3333,-75.0167,Shiringal Touristic Park
257,Ndioum,SN,89.53,broken clouds,16.5129,-14.6471,l'hôtel samassa
258,Utrecht,NL,63.21,overcast clouds,52.0,5.25,Night Dijk
260,Angoche,MZ,74.39,clear sky,-16.2325,39.9086,Guest House HESADA
261,Bucerias,MX,86.99,broken clouds,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
262,Thunder Bay,CA,60.3,light rain,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
263,Tomatlan,MX,82.22,broken clouds,19.9333,-105.25,El Salvial
265,Torbay,CA,55.27,scattered clouds,47.6666,-52.7314,Gallows Cove
266,Mantua,IT,67.28,broken clouds,45.1667,10.7833,Hotel la Favorita
267,Bay Roberts,CA,56.03,overcast clouds,47.5999,-53.2648,Stonewall Inn
270,San Buenaventura,MX,82.11,overcast clouds,27.0833,-101.5333,Hotel Gran Plaza
272,Methoni,GR,66.22,scattered clouds,36.8197,21.7049,Methoni Beach Hotel
273,Isangel,VU,75.31,overcast clouds,-19.55,169.2667,Tanna Lodge
275,Canelones,UY,58.42,overcast clouds,-34.6444,-56.2886,Chacra Los Cardenales
276,Alyangula,AU,82.8,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
277,Queimados,BR,70.54,overcast clouds,-22.7161,-43.5553,Logic Queimados
278,Diplo,PK,81.61,few clouds,24.4667,69.584,Mukhi Ahmed Ali Residency
281,Rottingdean,GB,57.43,light rain,50.8098,-0.0594,Snooze
282,San Policarpo,PH,82.51,overcast clouds,12.1791,125.5072,Manong Aklan Resort
283,Takoradi,GH,76.33,light rain,4.8845,-1.7554,Raybow International Hotel
